iteration 1 max error 11.488971 
iteration 2 max error 7.133656 
iteration 3 max error 6.324659 
iteration 4 max error 5.635726 
iteration 5 max error 5.038824 
iteration 6 max error 4.512494 
iteration 7 max error 4.045202 
iteration 8 max error 3.628693 
iteration 9 max error 3.256548 
iteration 10 max error 2.923567 
-53.5554 -51.4211 -49.6357 -48.0002 -46.4677
-53.5542 -51.4201 -49.6348 -47.9993 -46.4669
-53.5529 -51.4191 -49.6339 -47.9985 -46.4661
-53.5516 -51.4181  -49.633 -47.9977 -46.4654
-53.5504 -51.4172 -49.6321 -47.9968 -46.4646
-53.5491 -51.4162 -49.6312  -47.996 -46.4638
-53.5478 -51.4152 -49.6303 -47.9952  -46.463
-53.5465 -51.4142 -49.6294 -47.9943 -46.4622
-53.5453 -51.4132 -49.6285 -47.9935 -46.4614
 -53.544 -51.4122 -49.6276 -47.9927 -46.4606
-53.5427 -51.4113 -49.6267 -47.9918 -46.4598
-53.5415 -51.4103 -49.6258  -47.991  -46.459
-53.5402 -51.4093 -49.6249 -47.9901 -46.4582
-53.5389 -51.4083  -49.624 -47.9893 -46.4574
-53.5377 -51.4073 -49.6232 -47.9885 -46.4566
-53.5364 -51.4064 -49.6223 -47.9876 -46.4558
-53.5351 -51.4054 -49.6214 -47.9868  -46.455
-53.5339 -51.4044 -49.6205  -47.986 -46.4543
-53.5326 -51.4034 -49.6196 -47.9851 -46.4535
-53.5314 -51.4024 -49.6187 -47.9843 -46.4527
-53.5301 -51.4014 -49.6178 -47.9835 -46.4519
-53.5288 -51.4005 -49.6169 -47.9826 -46.4511
-53.5276 -51.3995  -49.616 -47.9818 -46.4503
-53.5263 -51.3985 -49.6151  -47.981 -46.4495
 -53.525 -51.3975 -49.6142 -47.9801 -46.4487
-53.5238 -51.3965 -49.6133 -47.9793 -46.4479
-53.5225 -51.3956 -49.6124 -47.9784 -46.4471
-53.5212 -51.3946 -49.6115 -47.9776 -46.4463
  -53.52 -51.3936 -49.6106 -47.9768 -46.4455
-53.5187 -51.3926 -49.6097 -47.9759 -46.4447
-53.5174 -51.3916 -49.6088 -47.9751 -46.4439
-53.5162 -51.3907 -49.6079 -47.9743 -46.4432
-53.5149 -51.3897  -49.607 -47.9734 -46.4424
-53.5137 -51.3887 -49.6061 -47.9726 -46.4416
-53.5124 -51.3877 -49.6052 -47.9718 -46.4408
-53.5111 -51.3867 -49.6043 -47.9709   -46.44
-53.5099 -51.3858 -49.6034 -47.9701 -46.4392
-53.5086 -51.3848 -49.6025 -47.9693 -46.4384
-53.5073 -51.3838 -49.6016 -47.9684 -46.4376
-53.5061 -51.3828 -49.6007 -47.9676 -46.4368
-53.5048 -51.3818 -49.5998 -47.9668  -46.436
-53.5036 -51.3809 -49.5989 -47.9659 -46.4352
-53.5023 -51.3799 -49.5981 -47.9651 -46.4344
 -53.501 -51.3789 -49.5972 -47.9643 -46.4336
-53.4998 -51.3779 -49.5963 -47.9634 -46.4329
-53.4985 -51.3769 -49.5954 -47.9626 -46.4321
-53.4972  -51.376 -49.5945 -47.9617 -46.4313
 -53.496  -51.375 -49.5936 -47.9609 -46.4305
-53.4947  -51.374 -49.5927 -47.9601 -46.4297
-53.4935  -51.373 -49.5918 -47.9592 -46.4289
-53.4922  -51.372 -49.5909 -47.9584 -46.4281
-53.4909 -51.3711   -49.59 -47.9576 -46.4273
-53.4897 -51.3701 -49.5891 -47.9567 -46.4265
-53.4884 -51.3691 -49.5882 -47.9559 -46.4257
-53.4872 -51.3681 -49.5873 -47.9551 -46.4249
-53.4859 -51.3671 -49.5864 -47.9542 -46.4241
-53.4847 -51.3662 -49.5855 -47.9534 -46.4233
-53.4834 -51.3652 -49.5846 -47.9526 -46.4226
-53.4821 -51.3642 -49.5837 -47.9517 -46.4218
-53.4809 -51.3632 -49.5828 -47.9509  -46.421
-53.4796 -51.3622 -49.5819 -47.9501 -46.4202
-53.4784 -51.3613  -49.581 -47.9492 -46.4194
-53.4771 -51.3603 -49.5801 -47.9484 -46.4186
-53.4758 -51.3593 -49.5792 -47.9476 -46.4178
-53.4746 -51.3583 -49.5784 -47.9467  -46.417
-53.4733 -51.3574 -49.5775 -47.9459 -46.4162
-53.4721 -51.3564 -49.5766 -47.9451 -46.4154
-53.4708 -51.3554 -49.5757 -47.9442 -46.4146
-53.4696 -51.3544 -49.5748 -47.9434 -46.4138
-53.4683 -51.3534 -49.5739 -47.9426 -46.4131
 -53.467 -51.3525  -49.573 -47.9417 -46.4123
-53.4658 -51.3515 -49.5721 -47.9409 -46.4115
-53.4645 -51.3505 -49.5712 -47.9401 -46.4107
-53.4633 -51.3495 -49.5703 -47.9392 -46.4099
 -53.462 -51.3485 -49.5694 -47.9384 -46.4091
-53.4608 -51.3476 -49.5685 -47.9375 -46.4083
-53.4595 -51.3466 -49.5676 -47.9367 -46.4075
-53.4583 -51.3456 -49.5667 -47.9359 -46.4067
 -53.457 -51.3446 -49.5658  -47.935 -46.4059
-53.4557 -51.3437 -49.5649 -47.9342 -46.4051
-53.4545 -51.3427  -49.564 -47.9334 -46.4043
-53.4532 -51.3417 -49.5631 -47.9325 -46.4036
 -53.452 -51.3407 -49.5623 -47.9317 -46.4028
-53.4507 -51.3397 -49.5614 -47.9309  -46.402
-53.4495 -51.3388 -49.5605   -47.93 -46.4012
-53.4482 -51.3378 -49.5596 -47.9292 -46.4004
 -53.447 -51.3368 -49.5587 -47.9284 -46.3996
-53.4457 -51.3358 -49.5578 -47.9275 -46.3988
-53.4445 -51.3349 -49.5569 -47.9267  -46.398
-53.4432 -51.3339  -49.556 -47.9259 -46.3972
 -53.442 -51.3329 -49.5551  -47.925 -46.3964
-53.4407 -51.3319 -49.5542 -47.9242 -46.3956
-53.4395 -51.3309 -49.5533 -47.9234 -46.3949
-53.4382   -51.33 -49.5524 -47.9225 -46.3941
 -53.437  -51.329 -49.5515 -47.9217 -46.3933
-53.4357  -51.328 -49.5506 -47.9209 -46.3925
-53.4344  -51.327 -49.5497   -47.92 -46.3917
-53.4332 -51.3261 -49.5488 -47.9192 -46.3909
-53.4319 -51.3251  -49.548 -47.9184 -46.3901
